,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
269,WB38524,California,M,High School or Below,296959,46131,74,0,Personal Auto,Two-Door Car,355
270,CE56187,Oregon,F,Master,436312,54514,109,3,Personal Auto,SUV,286
271,JZ61422,Nevada,F,College,527219,96668,66,0,Personal Auto,Four-Door Car,316
272,LA13377,California,M,Doctor,550989,78879,69,1,Personal Auto,Four-Door Car,466
273,ES57969,Oregon,M,Bachelor,245357,29735,69,0,Personal Auto,Four-Door Car,331
274,JK55587,California,M,High School or Below,507566,23082,65,0,Special Auto,Four-Door Car,312
275,RN97635,Arizona,M,Bachelor,321497,53984,80,0,Corporate Auto,Four-Door Car,421
276,BI76326,California,F,College,1227534,52135,156,0,Personal Auto,SUV,430
277,JA34909,California,F,College,272221,17576,71,0,Corporate Auto,Four-Door Car,398
278,OJ90342,Oregon,F,Bachelor,245744,29486,62,0,Personal Auto,Four-Door Car,7
279,CM88932,Oregon,F,Master,355484,58557,88,0,Corporate Auto,Four-Door Car,55
280,JJ97525,California,M,Bachelor,492954,25632,63,0,Personal Auto,Two-Door Car,351
281,MC83487,Arizona,M,Bachelor,427691,18768,68,3,Corporate Auto,Four-Door Car,647
282,CR57148,Oregon,F,Master,596058,47945,74,0,Personal Auto,Two-Door Car,128
283,CP85232,Arizona,M,College,4479546,58778,126,0,Special Auto,SUV,302
284,YL74732,California,F,High School or Below,383211,15192,100,0,Personal Auto,SUV,480
285,FG16766,California,F,Bachelor,683793,51859,171,0,Personal Auto,SUV,1003
286,NV55438,Nevada,F,High School or Below,528526,23422,72,0,Personal Auto,Two-Door Car,518
287,RM10880,California,F,College,309651,21604,79,0,Corporate Auto,Four-Door Car,379
288,GL56175,Arizona,M,College,358971,79298,90,0,Personal Auto,Four-Door Car,244
289,UK52289,Arizona,F,Bachelor,258240,76731,64,0,Special Auto,Four-Door Car,201
290,OT85112,Washington,M,College,340391,38460,88,1,Personal Auto,Four-Door Car,91
291,BC62782,Arizona,F,College,1357567,48534,115,1,Personal Auto,SUV,552
292,TI19722,Washington,M,Doctor,343613,30817,88,0,Corporate Auto,Four-Door Car,91
293,JP30654,Oregon,F,College,2868582,48412,104,0,Personal Auto,SUV,707
294,UM45563,Washington,M,Bachelor,450267,68798,114,0,Personal Auto,SUV,92
295,EN60878,Oregon,M,Bachelor,618311,23712,85,0,Personal Auto,Four-Door Car,376
296,JF36291,California,M,College,387364,28142,105,0,Personal Auto,Luxury,701
297,BK59444,California,F,Master,1892933,72196,68,0,Personal Auto,Four-Door Car,152
298,MK70700,California,M,Master,555329,68197,69,0,Personal Auto,Four-Door Car,176
299,IW71076,California,M,Bachelor,501125,75248,63,0,Corporate Auto,Four-Door Car,104
300,HR85211,Washington,F,Master,512317,89879,63,0,Personal Auto,Two-Door Car,94
301,VC87846,Oregon,M,High School or Below,748431,46998,96,0,Corporate Auto,Four-Door Car,460
302,ZM92052,Oregon,M,Bachelor,261302,57099,67,0,Personal Auto,Two-Door Car,67
303,ON73702,Arizona,F,Bachelor,908063,33897,114,0,Corporate Auto,SUV,539
304,QQ90441,Nevada,F,High School or Below,1377097,59207,116,0,Personal Auto,Four-Door Car,556
305,HU35721,Oregon,M,High School or Below,287682,40171,73,0,Personal Auto,Four-Door Car,350
306,YP47665,Washington,M,Doctor,540891,80192,67,0,Personal Auto,Four-Door Car,95
307,FU99476,Washington,M,High School or Below,677030,74422,85,1,Personal Auto,Four-Door Car,95
308,DJ91267,Nevada,F,Bachelor,2909123,34226,244,0,Personal Auto,Luxury,494
309,KB72438,California,F,High School or Below,1983420,65989,123,1,Personal Auto,SUV,115
310,TR67616,Oregon,M,High School or Below,473136,30686,61,0,Corporate Auto,Four-Door Car,19
311,HB67642,Arizona,F,High School or Below,3461137,20090,109,0,Personal Auto,Luxury,523
312,VV77534,Oregon,M,College,1397651,77094,176,0,Personal Auto,SUV,444
313,GL67540,California,F,College,590408,97413,73,0,Personal Auto,Four-Door Car,268
314,SV50502,Oregon,F,Master,559583,79189,69,0,Corporate Auto,Four-Door Car,331
315,OA57352,Arizona,F,College,627391,18577,86,0,Personal Auto,Four-Door Car,412
316,AX86150,Washington,M,High School or Below,265671,62777,67,0,Personal Auto,Two-Door Car,101
317,EM29359,Nevada,M,College,712659,17483,183,0,Personal Auto,Luxury,1317
318,SF57173,Oregon,M,Master,460163,84394,114,0,Personal Auto,SUV,691
319,SW31412,Oregon,F,College,1480805,41440,62,1,Personal Auto,Four-Door Car,297
320,RE81445,Oregon,F,College,573459,98132,71,0,Personal Auto,Two-Door Car,50
321,LC25393,California,M,Bachelor,2777628,88220,230,0,Personal Auto,Luxury,151
322,UX38930,Arizona,F,Master,1036434,58327,129,0,Personal Auto,SUV,347
323,HD95496,Oregon,M,Master,785190,25950,66,0,Personal Auto,Two-Door Car,271
324,DW19309,Oregon,M,High School or Below,1422650,65726,177,0,Corporate Auto,SUV,849
325,MT41386,Washington,M,Bachelor,287543,84768,72,0,Personal Auto,Two-Door Car,110
326,WZ40465,Washington,F,Bachelor,504129,36234,63,0,Personal Auto,Four-Door Car,113
327,DB42794,California,M,College,436293,58842,110,0,Personal Auto,Four-Door Car,528
328,JB50798,Oregon,F,Master,962452,25629,124,2,Corporate Auto,Luxury,595
329,IP69763,Washington,F,College,2191440,77311,181,0,Personal Auto,SUV,113
330,HX74855,Washington,M,High School or Below,247152,95697,61,0,Personal Auto,Two-Door Car,114
331,QN65180,Oregon,F,Bachelor,2190391,22254,79,0,Personal Auto,Four-Door Car,125
332,GE47180,Nevada,M,High School or Below,902882,65974,113,0,Personal Auto,Luxury,235
333,BH86846,Washington,M,High School or Below,2070825,92079,65,1,Corporate Auto,Four-Door Car,114
334,MN61620,Arizona,F,College,987729,67752,131,4,Personal Auto,Luxury,168
335,YH86390,California,F,Bachelor,481500,25398,64,0,Corporate Auto,Four-Door Car,307
336,YH61661,California,M,High School or Below,826063,33321,105,0,Special Auto,SUV,504
337,LN31673,Washington,F,College,1131808,38923,99,2,Personal Auto,Four-Door Car,115
338,WE68644,Oregon,F,Bachelor,380392,20325,100,0,Personal Auto,Luxury,668
339,EZ30498,Oregon,M,Bachelor,863540,13129,117,0,Personal Auto,SUV,700
340,NM88660,Nevada,M,Master,358588,49080,91,0,Corporate Auto,Four-Door Car,25
341,MZ82036,Nevada,M,College,488925,42536,63,0,Personal Auto,Four-Door Car,375
342,ID20929,Oregon,M,Bachelor,275694,29926,74,0,Corporate Auto,Four-Door Car,418
343,TT82373,California,F,Bachelor,1093717,21450,138,0,Personal Auto,Luxury,938
344,OH64088,California,M,High School or Below,737556,33345,65,0,Corporate Auto,Four-Door Car,338
345,SK97780,California,F,Bachelor,1011077,15752,90,0,Corporate Auto,Two-Door Car,339
346,IO33050,Oregon,F,High School or Below,511941,40169,65,1,Personal Auto,Four-Door Car,302
347,XA55917,California,F,College,853383,26049,113,1,Personal Auto,SUV,619
348,RQ19236,Arizona,M,Doctor,804280,55411,100,0,Personal Auto,Luxury,259
349,QC47433,Oregon,M,College,255443,12459,70,0,Personal Auto,Four-Door Car,336
350,RA93608,Oregon,M,Bachelor,1807394,64620,76,1,Personal Auto,Two-Door Car,364
351,XH97711,California,M,Bachelor,243050,83140,61,0,Corporate Auto,Four-Door Car,179
352,KC17170,Arizona,F,Bachelor,546560,54422,68,0,Corporate Auto,Four-Door Car,75
353,ZN47335,California,M,College,1035751,68309,131,0,Corporate Auto,SUV,306
354,EI46264,California,M,High School or Below,253781,56621,65,2,Personal Auto,Four-Door Car,84
355,EK87864,Arizona,F,College,282194,38977,70,0,Special Auto,Four-Door Car,139
356,NS10490,Oregon,F,Bachelor,1415861,83235,70,0,Personal Auto,Two-Door Car,336
357,IU96845,Arizona,M,College,628547,32390,80,0,Personal Auto,Four-Door Car,91
358,QL93655,Oregon,F,High School or Below,1147348,66538,95,0,Personal Auto,Two-Door Car,317
359,PF40592,Washington,F,College,494263,23285,65,0,Personal Auto,Two-Door Car,118
360,LZ34046,Oregon,M,Bachelor,2359468,76358,66,0,Personal Auto,Four-Door Car,86
361,JC80093,Washington,M,Master,257250,21104,66,0,Personal Auto,Four-Door Car,118
362,YE88490,Arizona,F,College,538089,55350,67,0,Personal Auto,Four-Door Car,321
363,YC80498,California,F,College,477055,12964,65,0,Personal Auto,Two-Door Car,362
364,AI85843,Arizona,F,Master,675665,33288,86,2,Personal Auto,Four-Door Car,221
365,FY51713,Arizona,F,Bachelor,357076,56168,88,0,Personal Auto,Four-Door Car,614
366,WQ18638,Oregon,M,High School or Below,542686,23105,69,0,Personal Auto,Two-Door Car,331
367,KY14688,Oregon,F,Master,273031,36218,68,0,Personal Auto,Four-Door Car,145
368,TC97762,California,F,High School or Below,498268,52275,62,0,Corporate Auto,Four-Door Car,374
369,QC87108,Oregon,F,College,876926,49665,74,0,Personal Auto,Four-Door Car,355
370,CX12134,Nevada,M,High School or Below,422061,32471,110,0,Personal Auto,Two-Door Car,528
371,CK19789,California,F,Master,588718,62773,73,0,Personal Auto,Four-Door Car,80
372,UV12583,California,F,College,470058,76694,117,0,Personal Auto,SUV,561
373,JC11405,Oregon,M,High School or Below,1096395,55687,276,0,Personal Auto,Luxury,1324
374,BG85305,Nevada,M,Doctor,375780,36633,96,1,Personal Auto,Four-Door Car,460
375,UQ87917,Oregon,M,High School or Below,1294173,77060,106,0,Personal Auto,SUV,468
376,XN11823,Nevada,F,Bachelor,376446,92600,94,0,Corporate Auto,Two-Door Car,842
377,RP19541,Arizona,M,College,758211,64801,64,0,Personal Auto,Four-Door Car,268
378,ZR25747,Oregon,F,College,827774,45257,103,0,Corporate Auto,Two-Door Car,494
379,NQ86532,California,M,High School or Below,257645,26854,66,0,Personal Auto,Four-Door Car,475
380,JY27336,Oregon,F,College,820538,85840,102,2,Corporate Auto,SUV,138
381,PB54378,Oregon,F,Doctor,1958246,26463,72,0,Corporate Auto,Four-Door Car,345
382,SV38190,Nevada,F,Bachelor,648152,30689,81,0,Personal Auto,Four-Door Car,467
383,CV24005,Oregon,M,High School or Below,259931,29590,66,0,Corporate Auto,Two-Door Car,467
384,EX28656,Oregon,F,College,983033,25965,253,0,Personal Auto,Luxury,1214
385,CF57022,Oregon,M,Bachelor,1044265,17269,139,0,Personal Auto,SUV,667
386,GM16780,Oregon,M,College,3605753,90330,137,3,Corporate Auto,Luxury,192
387,YH92099,Arizona,F,Bachelor,308799,18558,80,0,Special Auto,Four-Door Car,384
388,SG81493,Arizona,M,Bachelor,444373,46384,113,0,Corporate Auto,Four-Door Car,251
389,FJ54907,Oregon,F,College,718097,42303,180,0,Personal Auto,Luxury,1210
390,CU26127,California,F,Bachelor,1565603,71731,130,0,Corporate Auto,SUV,599
391,YH60476,Oregon,M,High School or Below,578018,51066,74,0,Corporate Auto,Four-Door Car,787
392,UA51318,Arizona,F,High School or Below,511662,26173,68,1,Corporate Auto,Four-Door Car,449
393,BV55014,Oregon,M,Bachelor,726873,24445,63,0,Personal Auto,Two-Door Car,302
394,HX21307,Oregon,M,College,261661,72302,66,0,Personal Auto,Two-Door Car,316
395,LQ68252,Oregon,M,High School or Below,373843,27208,102,0,Personal Auto,SUV,489
396,SL35268,Arizona,M,College,545386,30855,68,0,Corporate Auto,Four-Door Car,259
397,JS42382,Oregon,M,Master,617291,99960,76,0,Corporate Auto,Four-Door Car,364
398,VP57424,Nevada,F,Bachelor,699700,55873,88,0,Personal Auto,Four-Door Car,299
399,VU19243,Arizona,F,High School or Below,419625,18052,111,0,Personal Auto,Four-Door Car,699
400,TA82973,Oregon,F,High School or Below,785810,28937,104,2,Personal Auto,SUV,117
401,LL62746,Oregon,M,Doctor,897064,12829,118,0,Personal Auto,SUV,328
402,JQ56711,Oregon,F,Master,592311,92163,73,0,Personal Auto,Two-Door Car,66
403,AW77988,Oregon,M,High School or Below,3585059,17588,192,0,Personal Auto,Luxury,1382
404,QP84605,Washington,F,Bachelor,870984,41546,111,0,Corporate Auto,Four-Door Car,121
405,IB87349,California,M,High School or Below,452850,70340,113,0,Special Auto,Four-Door Car,542
406,BW80872,Washington,M,High School or Below,443441,34549,111,0,Personal Auto,Four-Door Car,125
407,PX70175,Arizona,M,College,799600,93459,99,0,Personal Auto,Four-Door Car,655
408,KF75098,Arizona,M,Bachelor,512973,86148,65,2,Personal Auto,Four-Door Car,312
409,IS50283,California,F,Bachelor,569717,27048,72,0,Corporate Auto,Four-Door Car,345
410,MY64920,Oregon,F,College,921713,73259,115,0,Personal Auto,SUV,673
411,KN34250,Oregon,F,College,1020892,35482,129,0,Corporate Auto,SUV,619
412,GN46207,Oregon,F,Master,417068,29462,107,1,Personal Auto,SUV,513
413,KL57176,Oregon,F,College,450540,67801,115,1,Personal Auto,SUV,23
414,JY90595,Arizona,M,High School or Below,552866,16042,73,0,Personal Auto,Two-Door Car,350
415,HK26543,California,M,High School or Below,504586,28056,64,1,Personal Auto,Four-Door Car,307
416,PN86062,California,M,High School or Below,296272,16495,85,3,Corporate Auto,Four-Door Car,408
417,VW27730,California,F,Master,866595,41163,108,0,Corporate Auto,SUV,231
418,MO56878,California,M,Bachelor,1548843,33799,109,3,Corporate Auto,SUV,664
419,VO38365,Washington,F,College,886114,90125,110,0,Corporate Auto,SUV,128
420,SV35618,Oregon,F,Bachelor,593474,87747,147,1,Personal Auto,SUV,46
421,RX12347,Nevada,M,College,354323,35695,90,0,Personal Auto,Four-Door Car,432
422,FR55658,California,M,Master,349002,90985,87,0,Personal Auto,Four-Door Car,78
423,ZU73588,California,M,College,598977,66839,154,0,Personal Auto,Luxury,739
424,VM13430,Oregon,F,Bachelor,860915,79090,107,0,Corporate Auto,SUV,289
425,TC78849,Oregon,M,Bachelor,249745,24825,64,0,Personal Auto,Two-Door Car,155
426,VC34764,California,M,College,701917,26806,63,0,Personal Auto,Four-Door Car,302
427,WO90953,Oregon,F,College,538792,56835,67,0,Personal Auto,Two-Door Car,326
428,KO46064,California,M,Bachelor,273020,46135,69,0,Personal Auto,Four-Door Car,103
429,BI38192,Oregon,F,High School or Below,793706,22862,67,0,Personal Auto,Two-Door Car,321
430,PU18983,Oregon,F,High School or Below,860815,21450,110,2,Personal Auto,Luxury,528
431,SW79912,Oregon,M,Bachelor,263254,95854,65,0,Personal Auto,Two-Door Car,312
432,ES39217,Oregon,F,Bachelor,778500,44897,99,1,Personal Auto,Four-Door Car,580
433,KP72427,Washington,M,High School or Below,2163983,64455,108,0,Personal Auto,SUV,133
434,UA19178,Oregon,F,Master,498082,53265,62,0,Personal Auto,Four-Door Car,238
435,XF57481,Washington,M,Master,1064093,50450,90,0,Personal Auto,Two-Door Car,135
436,CN90378,California,F,High School or Below,686250,54780,88,3,Personal Auto,Four-Door Car,135
437,UI55951,California,M,Bachelor,554803,67798,69,0,Personal Auto,Four-Door Car,331
438,FF28650,Oregon,M,Bachelor,831268,21442,118,0,Personal Auto,SUV,566
439,FS55302,California,M,Bachelor,238998,27615,62,1,Personal Auto,Four-Door Car,297
440,TN79487,California,M,Bachelor,445811,17622,65,1,Personal Auto,Four-Door Car,312
441,HG32616,Nevada,M,High School or Below,529574,50200,135,0,Personal Auto,Luxury,637
442,PM27367,California,F,Master,277890,73570,70,1,Special Auto,Two-Door Car,75
443,BH35482,Washington,M,Doctor,493094,70412,61,0,Corporate Auto,Two-Door Car,136
444,QE22757,Nevada,M,Doctor,249131,36631,62,0,Personal Auto,Four-Door Car,67
445,ON77649,Oregon,F,College,290887,35895,73,0,Personal Auto,Four-Door Car,312
446,RN82884,Arizona,F,College,428294,40864,109,1,Personal Auto,SUV,166
447,FF58467,Arizona,F,Master,509078,93018,63,0,Personal Auto,Four-Door Car,135
448,BS83666,Oregon,M,Bachelor,736618,70014,62,0,Corporate Auto,Four-Door Car,17
449,WO29605,Oregon,F,College,243687,48875,61,0,Personal Auto,Two-Door Car,1
450,TL77607,California,M,Bachelor,885268,67969,74,0,Personal Auto,Four-Door Car,197
451,OS39723,Oregon,F,Doctor,560049,68665,69,0,Personal Auto,Two-Door Car,331
452,FN69743,California,M,College,463654,26802,66,1,Corporate Auto,Two-Door Car,316
453,TU92578,California,M,College,1469663,45345,125,0,Personal Auto,SUV,600
454,TL43709,Washington,M,Bachelor,897214,89689,74,0,Personal Auto,Four-Door Car,136
455,YE68736,California,F,Bachelor,772484,32051,193,1,Personal Auto,SUV,926
456,OB96537,Oregon,M,Master,594667,81139,74,0,Special Auto,Four-Door Car,392
457,EU68825,Oregon,F,Master,800054,63834,100,1,Personal Auto,Luxury,215
458,CC31456,Arizona,M,Bachelor,645756,37548,81,0,Special Auto,Four-Door Car,160
459,LN26837,California,M,High School or Below,259243,72421,65,0,Personal Auto,Four-Door Car,312
460,YI92916,Nevada,M,Master,467842,83102,116,0,Corporate Auto,Four-Door Car,443
461,NW54906,Oregon,M,College,1386992,28432,118,0,Personal Auto,SUV,612
462,ME77513,Nevada,F,Master,871777,83707,108,0,Corporate Auto,Four-Door Car,290
463,UK76891,California,F,College,523398,63259,65,0,Corporate Auto,Four-Door Car,316
464,YD74948,Oregon,F,College,247246,63860,62,0,Personal Auto,Four-Door Car,208
465,HB64268,Washington,M,Bachelor,281369,43836,73,0,Personal Auto,Four-Door Car,138
466,BW52697,California,F,College,550505,86132,68,0,Personal Auto,Two-Door Car,301
467,NL41409,Oregon,F,Bachelor,260620,28519,66,0,Personal Auto,Two-Door Car,456
468,OD69005,Arizona,F,High School or Below,1048194,39102,88,0,Personal Auto,Four-Door Car,152
469,UK70255,California,F,College,3047578,97298,128,0,Personal Auto,Luxury,48
470,QT25383,Nevada,M,High School or Below,636490,41986,84,2,Personal Auto,Two-Door Car,430
471,NS45347,Oregon,F,College,563145,17291,73,0,Personal Auto,Four-Door Car,350
472,XW89091,California,M,College,981652,37256,62,0,Personal Auto,Four-Door Car,128
473,YC11951,Oregon,M,High School or Below,751913,96306,95,1,Corporate Auto,Four-Door Car,185
474,UY18770,California,F,Bachelor,1017971,14290,271,0,Personal Auto,Luxury,1300
475,RA49085,California,F,College,277283,37038,71,1,Corporate Auto,Four-Door Car,9
476,BG84194,Oregon,M,College,403750,90760,103,2,Special Auto,SUV,133
477,PT64580,Washington,M,Master,419196,77048,103,0,Personal Auto,SUV,141
478,MR67738,Oregon,F,High School or Below,267686,54480,67,0,Personal Auto,Four-Door Car,321
479,DM95829,California,M,College,252395,16244,68,0,Personal Auto,Two-Door Car,623
480,DB75522,California,F,College,698840,22436,89,0,Special Auto,Four-Door Car,427
481,LM34525,Washington,F,College,874205,71592,72,0,Personal Auto,Four-Door Car,141
482,WW30771,Arizona,M,Master,267331,28728,67,0,Personal Auto,Four-Door Car,321
483,QP65569,Arizona,M,High School or Below,1215732,57449,103,0,Personal Auto,Four-Door Car,494
484,TN50051,California,F,Doctor,295776,83318,73,0,Personal Auto,Two-Door Car,211
485,UO86707,Washington,M,Bachelor,717390,75217,61,1,Personal Auto,Four-Door Car,147
486,NX18774,Oregon,M,Bachelor,841568,55308,107,0,Corporate Auto,SUV,513
487,DA69469,Oregon,F,College,2684312,36068,97,0,Personal Auto,Two-Door Car,113
488,CN23147,Oregon,M,Bachelor,1305717,48804,112,1,Corporate Auto,Four-Door Car,537
489,GH42026,Oregon,M,Bachelor,853510,55790,111,0,Personal Auto,SUV,117
490,BD16530,Arizona,F,Bachelor,829348,70258,69,0,Personal Auto,Four-Door Car,225
491,WK23685,Oregon,F,Bachelor,663685,47274,83,1,Corporate Auto,Four-Door Car,182
492,GR62267,Washington,F,College,560908,44705,71,0,Personal Auto,Two-Door Car,148
493,GF97874,Washington,F,Master,527562,70446,65,0,Personal Auto,Four-Door Car,155
494,ZH19885,Washington,F,High School or Below,251459,43860,65,0,Personal Auto,Four-Door Car,156
495,UK25655,Oregon,F,Bachelor,343525,64348,86,0,Personal Auto,Two-Door Car,212
496,EL93539,California,M,Master,575744,88997,72,0,Special Auto,Four-Door Car,174
497,DP46882,California,F,High School or Below,288645,10312,78,0,Corporate Auto,Four-Door Car,486
498,TK60799,Arizona,F,High School or Below,416001,96263,103,0,Personal Auto,SUV,1
499,DN29808,California,F,College,284624,28919,72,0,Corporate Auto,Four-Door Car,518
500,NG66579,Oregon,M,Bachelor,505961,41869,64,0,Personal Auto,Two-Door Car,262
501,ED50963,California,F,High School or Below,268886,32808,68,1,Personal Auto,Four-Door Car,541
502,GP40701,California,F,Bachelor,827763,79780,68,0,Personal Auto,Four-Door Car,326
503,CP98451,Oregon,F,College,905793,91025,112,0,Personal Auto,SUV,327
504,NX52648,California,F,High School or Below,380175,33043,95,0,Personal Auto,Two-Door Car,456
505,ZC32510,Arizona,M,High School or Below,933934,69442,118,3,Personal Auto,Four-Door Car,1265
506,EB59129,Oregon,F,Bachelor,259574,47234,65,0,Personal Auto,Four-Door Car,15
507,RA70851,Oregon,M,High School or Below,743769,86863,92,0,Personal Auto,Four-Door Car,441
508,PM19162,Oregon,M,Bachelor,1453678,25805,66,2,Personal Auto,Four-Door Car,375
509,MS59005,Nevada,M,Bachelor,591330,43676,76,0,Personal Auto,Four-Door Car,364
510,SU71163,Arizona,M,College,277166,59855,74,4,Personal Auto,Two-Door Car,355
511,BD35676,Arizona,M,Master,2919436,35296,126,0,Personal Auto,SUV,452
512,NI44621,Oregon,F,Master,988038,36576,125,1,Personal Auto,SUV,113
513,EW33419,California,F,High School or Below,1511440,28513,100,1,Corporate Auto,SUV,480
514,HX44948,Oregon,M,Bachelor,575991,85448,72,0,Special Auto,Four-Door Car,16
515,DL36983,Oregon,F,High School or Below,849516,23791,110,3,Personal Auto,Two-Door Car,615
516,XR87264,California,F,Bachelor,438118,20597,112,0,Personal Auto,Four-Door Car,615
517,NN99001,Arizona,F,College,699782,56940,87,0,Personal Auto,Four-Door Car,512
518,XV95530,Oregon,M,Bachelor,1143058,93210,71,0,Personal Auto,Two-Door Car,74
519,OL97871,Oregon,F,Bachelor,748248,48992,94,1,Personal Auto,Four-Door Car,426
520,HQ23708,Arizona,F,Master,859691,53736,71,0,Personal Auto,Two-Door Car,169
521,WR63188,Arizona,M,College,785496,25378,66,1,Personal Auto,Four-Door Car,419
522,NG82219,Oregon,F,Bachelor,258240,76731,64,0,Personal Auto,Four-Door Car,201
523,KU29408,Washington,M,Master,907576,37722,116,0,Corporate Auto,Luxury,158
524,RE46783,California,F,Bachelor,411858,69379,103,0,Personal Auto,Two-Door Car,494
525,RU94434,Oregon,M,High School or Below,1215732,57449,103,0,Personal Auto,Four-Door Car,494
526,NV61299,Arizona,F,Bachelor,2778969,33806,89,0,Corporate Auto,Four-Door Car,395
527,DX31066,Washington,F,College,266727,94041,66,0,Personal Auto,Four-Door Car,159
528,CY50337,Oregon,F,College,1092840,74965,90,0,Personal Auto,Four-Door Car,58
529,TJ20375,Arizona,F,High School or Below,761538,34095,63,0,Personal Auto,Two-Door Car,302
530,JJ76159,California,M,College,243468,96045,61,0,Corporate Auto,Four-Door Car,8
531,BG15419,Nevada,F,Bachelor,1419536,86355,118,0,Personal Auto,Luxury,285
532,AO74776,California,F,High School or Below,942768,27824,118,0,Personal Auto,SUV,566
533,HQ82233,California,M,High School or Below,1198242,42995,101,0,Personal Auto,SUV,410
534,OL72737,Oregon,F,High School or Below,310278,21235,79,0,Personal Auto,Two-Door Car,244
535,ZQ59828,California,M,High School or Below,422263,74585,106,0,Personal Auto,SUV,218
536,NZ15548,Oregon,M,Bachelor,402381,41833,103,0,Personal Auto,Four-Door Car,643
537,XK61304,California,F,College,529715,23908,70,0,Personal Auto,Four-Door Car,336
538,CM94425,Arizona,M,Bachelor,441620,61953,113,0,Personal Auto,SUV,497
539,MY37953,Arizona,F,Bachelor,2583090,73760,107,1,Personal Auto,Luxury,230
540,XP64922,Oregon,F,College,297431,23333,74,0,Corporate Auto,Four-Door Car,5
