,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
541,LN50325,Arizona,F,High School or Below,1006460,20440,128,2,Corporate Auto,Luxury,614
542,HJ15383,Washington,M,Master,803240,27658,68,0,Personal Auto,Four-Door Car,160
543,KH59823,California,M,College,548921,50943,139,0,Special Auto,SUV,667
544,YM79169,California,M,Bachelor,261275,19003,71,0,Personal Auto,Two-Door Car,34
545,DR38127,California,M,College,857346,46703,108,0,Personal Auto,Four-Door Car,678
546,PU42145,California,M,Bachelor,2412750,14072,71,0,Personal Auto,Four-Door Car,511
547,KM33477,Oregon,M,College,855038,21733,73,0,Corporate Auto,Four-Door Car,525
548,RI53167,Arizona,M,Bachelor,230864,20811,61,0,Personal Auto,Four-Door Car,292
549,OF77789,Arizona,F,High School or Below,425462,11904,61,2,Personal Auto,Two-Door Car,292
550,YB33445,Oregon,F,College,898285,43490,114,4,Corporate Auto,SUV,174
551,BA17836,California,M,High School or Below,786816,57340,67,0,Corporate Auto,Four-Door Car,159
552,JS43228,California,M,College,770424,49088,97,0,Corporate Auto,Four-Door Car,698
553,BB11622,Nevada,M,Master,1055217,47761,131,0,Personal Auto,SUV,232
554,WK88044,Arizona,M,Bachelor,873783,61281,110,0,Personal Auto,SUV,79
555,EH16250,Arizona,M,Bachelor,770528,25290,66,0,Personal Auto,Four-Door Car,382
556,PU41872,Arizona,F,High School or Below,703926,24239,88,0,Personal Auto,Four-Door Car,48
557,HB85743,California,M,Bachelor,883808,82664,114,3,Personal Auto,SUV,133
558,MM71959,Arizona,M,Bachelor,873352,83210,110,0,Personal Auto,Luxury,528
559,MB83663,Oregon,F,Bachelor,959747,38736,81,0,Personal Auto,Two-Door Car,561
560,KH24214,Oregon,M,College,1785797,55437,64,1,Personal Auto,Four-Door Car,445
561,AC40767,Washington,M,Bachelor,249780,68041,6464,0,Personal Auto,Two-Door Car,165
562,EG62398,California,F,High School or Below,799814,29066,100,0,Personal Auto,SUV,844
563,VS19949,Nevada,M,Bachelor,289762,54337,72,0,Personal Auto,Four-Door Car,345
564,AM92343,Oregon,F,High School or Below,1159950,67616,96,0,Personal Auto,Four-Door Car,340
565,GI68556,California,F,Bachelor,1514793,41082,63,0,Personal Auto,Two-Door Car,106
566,XR64251,Nevada,F,Master,272535,36650,69,1,Personal Auto,Four-Door Car,56
567,MK34957,Oregon,F,College,1329771,50631,112,4,Special Auto,SUV,784
568,GP18756,California,M,College,992704,19592,92,0,Personal Auto,Four-Door Car,441
569,KQ65521,Arizona,F,College,1826927,55761,115,0,Personal Auto,Luxury,86
570,QB70027,California,F,Bachelor,708321,41449,89,0,Personal Auto,Four-Door Car,63
571,KH64733,Nevada,F,College,588950,62007,73,0,Personal Auto,Four-Door Car,120
572,ON59472,Arizona,M,High School or Below,1577139,21921,206,0,Corporate Auto,Luxury,1254
573,HP94242,Arizona,F,Bachelor,528817,42621,66,0,Personal Auto,Four-Door Car,316
574,EA25683,Washington,M,High School or Below,777853,63786,196,0,Corporate Auto,Luxury,798
575,MC71942,California,F,High School or Below,791919,82877,99,1,Personal Auto,Two-Door Car,22
576,YQ99152,Nevada,M,High School or Below,978780,10475,88,1,Personal Auto,Two-Door Car,422
577,KI19439,Oregon,F,High School or Below,520764,21952,66,0,Personal Auto,Four-Door Car,316
578,PM76175,Oregon,F,Bachelor,2114727,49721,132,0,Corporate Auto,Luxury,639
579,US45383,California,M,College,1228076,88340,102,0,Personal Auto,Two-Door Car,489
580,BE62503,Washington,F,College,920659,24589,82,0,Personal Auto,Two-Door Car,511
581,NC58480,Nevada,F,Bachelor,483820,73769,61,2,Personal Auto,Four-Door Car,239
582,NS39326,California,F,College,462554,66670,114,0,Personal Auto,SUV,518
583,PN18507,Arizona,M,Bachelor,1404210,88854,118,0,Personal Auto,Two-Door Car,715
584,EK91340,Oregon,M,Bachelor,754661,31266,193,0,Corporate Auto,Luxury,926
585,JY16280,California,F,High School or Below,251459,43860,65,0,Personal Auto,Four-Door Car,156
586,ZW71731,California,M,Bachelor,517035,89284,133,2,Corporate Auto,SUV,402
587,ZC24631,Oregon,M,College,1391737,67267,89,0,Corporate Auto,Four-Door Car,94
588,YR34689,California,F,High School or Below,1131813,79270,95,3,Personal Auto,Four-Door Car,456
589,RT65829,Oregon,M,Bachelor,427636,36692,109,1,Personal Auto,Four-Door Car,523
590,BM15160,California,F,High School or Below,849635,44624,71,1,Special Auto,Four-Door Car,73
591,EV19512,Nevada,F,Master,1630196,19614,85,0,Personal Auto,Two-Door Car,574
592,WY97929,Arizona,M,College,871704,83846,74,3,Special Auto,Four-Door Car,355
593,YG20683,Washington,M,College,286011,51159,72,0,Personal Auto,Four-Door Car,4
594,FK75497,California,M,College,245340,83772,62,0,Personal Auto,Two-Door Car,42
595,NE60110,Arizona,M,College,598977,66839,154,0,Personal Auto,Luxury,739
596,TN36521,Arizona,F,College,2498022,88440,70,0,Personal Auto,Two-Door Car,27
597,HG33568,Arizona,F,Master,748263,25666,63,2,Personal Auto,Four-Door Car,270
598,TW17878,Oregon,F,High School or Below,245757,52926,61,0,Personal Auto,Four-Door Car,292
599,CH97539,Washington,F,Bachelor,828696,40001,70,0,Personal Auto,Four-Door Car,142
600,MO33320,Oregon,M,College,465715,18024,65,0,Personal Auto,Two-Door Car,312
601,NY56352,Oregon,F,Bachelor,280391,23220,74,0,Personal Auto,Four-Door Car,251
602,EA27048,California,F,High School or Below,864650,64125,108,0,Personal Auto,SUV,369
603,UT38865,Oregon,F,College,742587,58042,62,0,Corporate Auto,Four-Door Car,161
604,QC89139,Oregon,F,High School or Below,452873,90034,112,0,Corporate Auto,SUV,537
605,LA14484,Nevada,M,High School or Below,222707,27972,61,0,Special Auto,Four-Door Car,292
606,CV31235,Arizona,M,Bachelor,318435,50989,80,0,Corporate Auto,Four-Door Car,255
607,WR45726,Arizona,F,Bachelor,1131520,11885,101,0,Special Auto,Four-Door Car,484
608,LB25094,California,F,Bachelor,253070,89451,63,0,Special Auto,Four-Door Car,61
609,XO36233,Washington,M,Bachelor,864153,78904,109,0,Personal Auto,SUV,250
610,ZX86243,Arizona,M,Doctor,327853,70247,83,1,Personal Auto,Four-Door Car,141
611,DW29763,Arizona,M,High School or Below,527198,32653,67,0,Personal Auto,Two-Door Car,321
612,CT83377,Washington,M,High School or Below,376363,93595,97,4,Special Auto,Four-Door Car,49
613,OQ90898,California,M,Master,1395556,90279,115,0,Personal Auto,SUV,372
614,QW33258,California,M,Bachelor,708283,53310,189,3,Personal Auto,Luxury,1360
615,VZ79886,Oregon,F,Bachelor,1255088,22234,160,0,Personal Auto,SUV,768
616,FI92440,Washington,F,High School or Below,3219660,91375,99,0,Personal Auto,Two-Door Car,72
617,YG85980,Nevada,F,High School or Below,679377,22250,86,0,Personal Auto,Two-Door Car,720
618,VN79010,California,F,High School or Below,854758,51179,71,0,Corporate Auto,Four-Door Car,466
619,FI61723,California,M,Bachelor,278742,38667,72,0,Personal Auto,Four-Door Car,159
620,OH55411,California,F,Master,462680,79487,114,0,Corporate Auto,SUV,547
621,TF10720,Nevada,F,Doctor,866336,67763,107,2,Personal Auto,Four-Door Car,41
622,WI69346,California,F,Master,896028,71943,112,0,Corporate Auto,SUV,305
623,FS76657,Oregon,F,College,547183,53526,68,0,Personal Auto,Four-Door Car,278
624,YX89016,Oregon,M,College,3493100,35005,295,0,Personal Auto,Luxury,1416
625,PK28821,California,M,College,262039,24721,67,0,Personal Auto,Four-Door Car,139
626,XG44587,Arizona,M,Master,575744,88997,72,0,Personal Auto,Four-Door Car,174
627,FG91922,Arizona,M,Master,4022401,48587,111,0,Personal Auto,SUV,532
628,OM99303,Arizona,F,High School or Below,270148,76310,67,0,Personal Auto,Two-Door Car,321
629,RV67546,California,M,Bachelor,371243,73205,92,0,Personal Auto,Four-Door Car,37
630,UJ79253,Oregon,F,College,2185084,51056,78,0,Personal Auto,Four-Door Car,95
631,PN98247,California,M,College,784016,58414,210,2,Personal Auto,Luxury,1008
632,IB67546,California,F,Bachelor,823703,23940,107,0,Personal Auto,SUV,513
633,CM95716,California,M,Bachelor,843446,44216,71,0,Personal Auto,Four-Door Car,72
634,MW62634,California,M,High School or Below,222707,27972,61,0,Corporate Auto,Four-Door Car,292
635,SN16059,California,F,Master,264144,29305,66,0,Personal Auto,Four-Door Car,475
636,OE51254,California,F,College,279068,53882,69,0,Personal Auto,Four-Door Car,331
637,RM42344,Oregon,M,College,274512,91757,69,1,Personal Auto,Four-Door Car,331
638,GB35238,California,F,Bachelor,757953,33906,64,0,Personal Auto,Two-Door Car,401
639,ML82674,Oregon,M,Bachelor,1097878,68158,139,1,Personal Auto,SUV,253
640,DE28132,Oregon,M,College,474773,42165,123,0,Corporate Auto,SUV,799
641,TY26512,California,M,Doctor,343613,30817,88,0,Personal Auto,Four-Door Car,91
642,OB69153,California,M,Bachelor,258218,68074,65,0,Personal Auto,Four-Door Car,27
643,QZ77637,Washington,F,College,1166509,84978,35353,1,Corporate Auto,Four-Door Car,166
644,XN41715,California,F,Master,739628,71135,92,1,Personal Auto,Four-Door Car,270
645,FL69363,Oregon,M,Master,907576,37722,116,0,Personal Auto,Luxury,158
646,NL59519,California,F,College,1156568,64642,96,0,Personal Auto,Four-Door Car,404
647,DK94262,Oregon,M,High School or Below,850712,46754,106,1,Personal Auto,SUV,513
648,UQ30615,California,M,College,758211,64801,64,0,Corporate Auto,Four-Door Car,268
649,OR40060,Arizona,M,Bachelor,332309,70410,83,0,Personal Auto,Four-Door Car,131
650,DK32872,Nevada,F,High School or Below,523433,66957,131,1,Personal Auto,SUV,628
651,FA46418,Nevada,F,High School or Below,2470959,24213,78,1,Personal Auto,Four-Door Car,374
652,ER19995,Washington,F,College,1778627,99790,6464,0,Personal Auto,Four-Door Car,178
653,KI75855,Oregon,M,Master,255122,79751,63,0,Personal Auto,Two-Door Car,392
654,ND41876,Arizona,M,High School or Below,724771,86122,182,1,Personal Auto,Luxury,873
655,PN21042,Arizona,M,Bachelor,453884,82297,116,0,Personal Auto,Luxury,0
656,GJ43254,Washington,M,College,3164210,89057,98,0,Corporate Auto,Two-Door Car,187
657,AL46984,California,M,High School or Below,873042,43259,73,0,Personal Auto,Four-Door Car,350
658,ZE85014,California,M,College,235774,25064,62,0,Personal Auto,Four-Door Car,297
659,KU88219,Arizona,M,Master,463716,25816,119,0,Personal Auto,Luxury,571
660,WS82822,Oregon,F,College,539197,41662,69,0,Corporate Auto,Four-Door Car,217
661,YB49933,Arizona,M,Bachelor,369414,96170,92,0,Personal Auto,Four-Door Car,441
662,XC16387,Arizona,F,High School or Below,504041,46072,64,0,Personal Auto,Four-Door Car,25
663,XJ96748,Arizona,F,High School or Below,2749542,37931,99,0,Personal Auto,Four-Door Car,475
664,TM98684,Oregon,M,High School or Below,484228,35127,62,0,Personal Auto,Four-Door Car,297
665,AY18433,Washington,F,High School or Below,2738281,45473,76,0,Special Auto,Two-Door Car,188
666,DM74502,Nevada,F,College,522710,93087,131,3,Corporate Auto,Luxury,628
667,FT56968,Arizona,M,High School or Below,259009,22398,67,2,Personal Auto,Four-Door Car,321
668,OX36896,California,M,High School or Below,1053607,92983,87,1,Corporate Auto,Four-Door Car,153
669,BZ65376,Arizona,M,Bachelor,858127,27689,239,2,Personal Auto,Luxury,2893
670,LN34660,California,F,College,946311,69654,118,0,Corporate Auto,SUV,629
671,JC29295,California,F,Bachelor,1344100,80744,111,0,Personal Auto,SUV,361
672,IX35050,Arizona,M,Bachelor,2359468,76358,66,0,Special Auto,Four-Door Car,86
673,UN97379,Oregon,M,Bachelor,253862,18608,71,0,Corporate Auto,Four-Door Car,340
674,MR57294,California,M,High School or Below,563994,73168,70,0,Personal Auto,Four-Door Car,425
675,UG79499,Washington,M,Bachelor,1168137,70930,99,0,Personal Auto,Four-Door Car,190
676,UA50747,Washington,F,High School or Below,2599775,62262,72,0,Corporate Auto,Four-Door Car,193
677,GL20444,Nevada,F,Master,1377836,91474,113,0,Corporate Auto,Two-Door Car,24
678,SP58110,California,F,Bachelor,492318,61469,63,5,Personal Auto,Four-Door Car,302
679,XM91635,Arizona,F,High School or Below,227233,16618,62,0,Special Auto,Four-Door Car,219
680,TV82603,California,F,Bachelor,1489539,48081,188,0,Personal Auto,Luxury,881
681,BB82067,Oregon,M,Doctor,975604,67632,121,0,Personal Auto,Luxury,26
682,JP94676,Oregon,F,Bachelor,942297,34115,119,0,Personal Auto,SUV,466
683,VU53417,Arizona,M,High School or Below,383735,23051,99,0,Personal Auto,Two-Door Car,475
684,IW54795,California,M,College,1095213,23748,99,0,Personal Auto,Four-Door Car,607
685,RN78170,Arizona,F,College,815913,40589,69,0,Corporate Auto,Four-Door Car,331
686,IX55883,California,F,College,1948049,50809,83,0,Personal Auto,Four-Door Car,290
687,XM72420,Arizona,F,High School or Below,391936,66676,97,0,Personal Auto,Four-Door Car,558
688,GC15104,Nevada,F,Bachelor,798514,52339,70,3,Corporate Auto,Four-Door Car,336
689,RX13282,Oregon,M,Bachelor,1216874,14973,115,0,Personal Auto,SUV,828
690,IR62668,Arizona,F,Bachelor,508583,31546,65,0,Personal Auto,Four-Door Car,100
691,AL96740,California,F,College,290393,67763,73,1,Personal Auto,Four-Door Car,59
692,SS48498,Washington,F,College,627317,20836,79,0,Corporate Auto,Four-Door Car,193
693,PE39479,Washington,M,College,1832141,88592,76,0,Corporate Auto,Four-Door Car,199
694,JH62891,Oregon,F,College,517870,66943,65,1,Special Auto,Four-Door Car,53
695,FI20423,Arizona,F,High School or Below,1402435,81872,115,0,Special Auto,Four-Door Car,256
696,PM13394,Washington,F,College,530943,22404,70,1,Personal Auto,Four-Door Car,211
697,YV67971,California,F,High School or Below,494980,21342,62,0,Personal Auto,Four-Door Car,74
698,QD31377,California,M,Bachelor,859566,34621,108,1,Corporate Auto,SUV,621
699,YG10247,Oregon,M,College,2295189,62396,64,0,Personal Auto,Four-Door Car,307
700,FE73696,Oregon,M,High School or Below,379213,97212,93,0,Personal Auto,Two-Door Car,360
701,SW19699,Arizona,F,Bachelor,275574,49648,70,0,Personal Auto,Four-Door Car,65
702,QJ40732,Arizona,M,College,488033,97984,61,1,Personal Auto,Four-Door Car,407
703,HM76207,California,F,College,905190,26308,114,0,Corporate Auto,SUV,547
704,NT59303,Oregon,F,College,1011544,63528,256,0,Personal Auto,Luxury,1228
705,PU41393,Nevada,M,College,826907,20225,114,1,Special Auto,SUV,547
706,QN10888,Oregon,F,High School or Below,772699,87620,64,0,Personal Auto,Four-Door Car,24
707,XC15133,Nevada,F,Master,257402,34990,65,0,Personal Auto,Four-Door Car,42
708,ST43550,Oregon,M,Bachelor,572732,99934,71,0,Special Auto,Four-Door Car,460
709,FX36546,Washington,M,Master,367914,60804,92,0,Personal Auto,Four-Door Car,213
710,JX68983,Oregon,M,Bachelor,274451,94648,69,0,Personal Auto,Four-Door Car,331
711,HX78576,California,F,High School or Below,563674,24516,71,0,Personal Auto,Four-Door Car,300
712,ZQ11381,Arizona,M,Bachelor,1687038,61063,85,0,Personal Auto,Four-Door Car,262
713,ZT30559,California,F,High School or Below,474668,15169,63,0,Personal Auto,Four-Door Car,302
714,XI41106,Arizona,M,College,1687432,55390,71,0,Corporate Auto,Two-Door Car,256
715,ZS88847,Oregon,F,Bachelor,238760,27592,62,0,Personal Auto,Four-Door Car,297
716,RU49126,Washington,F,College,446533,61846,112,0,Personal Auto,SUV,215
717,KR62797,Arizona,F,High School or Below,459162,83297,113,0,Personal Auto,SUV,542
718,CU36986,California,F,High School or Below,416516,55897,104,0,Personal Auto,Four-Door Car,499
719,WZ53904,Arizona,M,Bachelor,265998,21297,71,0,Personal Auto,Four-Door Car,45
720,AA71604,Arizona,F,Master,1198659,87560,98,1,Personal Auto,Two-Door Car,470
721,VX39856,Arizona,F,Doctor,350045,89398,86,0,Personal Auto,Four-Door Car,82
722,TP51897,California,F,College,262180,36843,68,3,Corporate Auto,Four-Door Car,357
723,EI91403,California,M,High School or Below,257827,34946,65,0,Personal Auto,Two-Door Car,420
724,QG15435,Arizona,F,College,624259,75680,78,0,Personal Auto,Four-Door Car,136
725,HX77930,Washington,F,College,313643,49532,79,1,Personal Auto,Four-Door Car,220
726,UN37063,Arizona,M,Bachelor,452536,10269,65,0,Personal Auto,Two-Door Car,170
727,VB87946,California,M,College,497035,49714,63,3,Personal Auto,Four-Door Car,266
728,AB60627,California,M,High School or Below,1546778,77517,129,0,Corporate Auto,SUV,98
729,TA34903,Oregon,M,High School or Below,583889,81082,73,0,Personal Auto,Four-Door Car,281
730,AQ51368,Oregon,F,Bachelor,1065688,72540,88,0,Corporate Auto,Two-Door Car,631
731,GB45753,California,M,High School or Below,543980,61546,68,0,Corporate Auto,Two-Door Car,29
732,BV79904,California,F,Master,795615,44818,67,1,Personal Auto,Two-Door Car,136
733,JO63462,California,M,Bachelor,330799,79797,84,0,Corporate Auto,Two-Door Car,31
734,NJ10602,Washington,F,College,845905,92717,70,0,Personal Auto,Two-Door Car,224
735,RS24501,Oregon,F,College,1335012,28919,173,0,Personal Auto,SUV,830
736,SU56153,Nevada,M,Bachelor,777683,63568,65,0,Corporate Auto,Two-Door Car,390
737,MN20737,Nevada,F,College,255367,73935,64,1,Corporate Auto,Four-Door Car,72
738,YQ15567,Oregon,F,Bachelor,903430,18846,115,0,Personal Auto,SUV,552
739,TR88637,Arizona,F,High School or Below,810591,38893,103,0,Personal Auto,SUV,41
740,XX88577,California,M,Bachelor,1572713,84824,196,0,Corporate Auto,SUV,319
741,NE49052,California,F,High School or Below,661801,20068,86,0,Corporate Auto,Four-Door Car,411
742,WH32183,California,M,Bachelor,832307,97245,70,0,Personal Auto,Four-Door Car,4
743,ES90681,California,F,College,241776,51808,61,1,Personal Auto,Four-Door Car,351
744,DW96592,California,M,Bachelor,804487,71391,67,0,Personal Auto,Four-Door Car,284
745,MB90871,Oregon,F,College,584741,23496,77,0,Special Auto,Four-Door Car,13
746,GT62080,Washington,M,High School or Below,793690,55561,63,0,Personal Auto,Four-Door Car,227
747,QL77686,Nevada,F,College,472478,23986,119,0,Corporate Auto,SUV,463
748,ON77827,Arizona,F,Master,279022,22974,71,0,Personal Auto,Four-Door Car,180
749,TI92884,Arizona,M,Bachelor,1262283,61844,106,0,Personal Auto,Luxury,508
750,JH73503,Arizona,M,Doctor,2017196,24804,73,0,Personal Auto,Two-Door Car,350
751,YE97964,California,F,Bachelor,1646436,27760,104,0,Personal Auto,SUV,302
752,VA30351,Oregon,F,High School or Below,559538,74454,71,0,Personal Auto,Four-Door Car,340
753,UC88305,Arizona,F,College,266544,52266,68,0,Corporate Auto,Two-Door Car,141
754,ZV32120,California,M,Doctor,397134,23599,103,0,Corporate Auto,SUV,494
755,FB80807,Oregon,M,Bachelor,552821,36088,72,0,Personal Auto,Four-Door Car,345
756,AS55677,California,F,High School or Below,833899,70534,104,0,Personal Auto,Four-Door Car,54
757,WA15684,Oregon,M,College,3844585,27398,125,1,Personal Auto,SUV,600
758,SA50567,Nevada,M,Bachelor,544855,85296,68,0,Personal Auto,Four-Door Car,342
759,KJ31611,Arizona,M,High School or Below,1080806,31063,92,0,Personal Auto,Four-Door Car,441
760,KN21017,Nevada,M,High School or Below,320822,52367,81,0,Personal Auto,Four-Door Car,275
761,PX44289,Arizona,M,College,548010,58651,71,0,Personal Auto,Four-Door Car,472
762,AM97901,Nevada,F,College,2298615,84831,192,0,Special Auto,Luxury,1336
763,RE42925,Oregon,M,Bachelor,1310792,49088,114,1,Corporate Auto,SUV,547
764,TR81766,California,F,College,746292,70263,93,0,Corporate Auto,Two-Door Car,7
765,CH85057,Oregon,F,Doctor,1146399,45354,285,0,Personal Auto,Luxury,540
766,EG40670,California,F,Bachelor,623268,28334,83,0,Special Auto,Four-Door Car,537
767,HV83672,Oregon,F,Bachelor,2839332,38772,90,0,Personal Auto,Four-Door Car,321
768,MG10140,Oregon,F,College,374675,41479,94,1,Personal Auto,Two-Door Car,19
769,TC44716,California,M,Bachelor,2156933,23909,119,0,Personal Auto,SUV,571
770,QO65264,California,M,College,501208,48328,63,0,Personal Auto,Two-Door Car,108
771,EB66698,California,M,High School or Below,337185,86689,85,0,Corporate Auto,Two-Door Car,408
772,OT52034,California,M,Bachelor,386477,24204,99,1,Personal Auto,Four-Door Car,707
773,CH85444,Oregon,M,College,414571,25943,110,0,Corporate Auto,Two-Door Car,1067
774,UI73201,California,M,College,366737,62375,92,0,Personal Auto,Two-Door Car,618
775,SI31236,Oregon,M,Bachelor,1017133,70200,65,0,Corporate Auto,Four-Door Car,312
776,VK48036,Oregon,F,College,551149,79027,70,0,Corporate Auto,Four-Door Car,336
777,JX76668,Washington,F,High School or Below,1131424,62935,141,0,Personal Auto,Luxury,232
778,DS45802,California,F,High School or Below,541461,26893,68,0,Personal Auto,Four-Door Car,68
779,OA96690,Oregon,F,High School or Below,742159,47406,94,1,Personal Auto,Four-Door Car,287
780,QO41043,Oregon,F,College,1447612,27572,124,0,Corporate Auto,SUV,595
781,PR31642,Oregon,F,Bachelor,452527,32802,114,0,Personal Auto,SUV,547
782,BU41599,Washington,F,Master,558176,62739,70,0,Personal Auto,Two-Door Car,239
783,TK30357,California,F,Bachelor,1413434,90844,118,0,Personal Auto,SUV,232
784,NF31087,Nevada,F,High School or Below,2472318,44685,69,0,Personal Auto,Four-Door Car,331
785,OS75493,California,F,High School or Below,384848,42589,98,0,Corporate Auto,Four-Door Car,470
786,QS75550,Washington,F,Bachelor,248004,93383,62,0,Corporate Auto,Two-Door Car,244
787,SZ16483,Arizona,F,High School or Below,436137,79583,109,2,Personal Auto,Four-Door Car,523
788,VM92311,Arizona,F,High School or Below,252907,89129,64,0,Personal Auto,Four-Door Car,328
789,WZ31900,Oregon,F,Bachelor,864970,94389,107,0,Corporate Auto,SUV,85
790,ZM86949,Oregon,F,High School or Below,2063508,84106,64,0,Personal Auto,Two-Door Car,334
791,FH51383,California,F,High School or Below,532667,76717,66,0,Personal Auto,Two-Door Car,300
792,BJ53923,Arizona,M,High School or Below,260027,51978,66,0,Corporate Auto,Four-Door Car,144
793,CZ96653,Oregon,F,Bachelor,853479,47325,107,0,Personal Auto,SUV,64
794,FB23788,Oregon,M,High School or Below,882883,86721,111,0,Corporate Auto,SUV,532
795,NT43594,Nevada,F,Bachelor,224844,24910,63,1,Personal Auto,Four-Door Car,347
796,RJ85627,Washington,F,Bachelor,1230276,43817,62,1,Personal Auto,Four-Door Car,245
797,PI47776,Oregon,F,Bachelor,253070,89451,63,0,Corporate Auto,Four-Door Car,61
798,MD73554,California,M,College,525198,59537,66,0,Personal Auto,Two-Door Car,316
799,YG44474,Oregon,M,College,1401472,54193,117,0,Corporate Auto,SUV,720
800,UH45301,Oregon,M,College,943891,86946,118,0,Personal Auto,Four-Door Car,340
801,IK12620,Arizona,F,High School or Below,421391,12160,109,0,Personal Auto,Four-Door Car,489
802,GQ66762,California,M,College,477368,33701,63,0,Personal Auto,Four-Door Car,171
803,YT69858,Washington,F,Bachelor,544142,85702,67,0,Personal Auto,Two-Door Car,249
804,XD85577,California,M,Bachelor,284226,69417,73,1,Personal Auto,Four-Door Car,30
805,TM65736,Oregon,M,Master,305955,38644,78,1,Personal Auto,Four-Door Car,361
806,VJ51327,California,F,High School or Below,2031499,63209,102,2,Personal Auto,SUV,207
807,GS98873,Arizona,F,Bachelor,323912,16061,88,0,Personal Auto,Four-Door Car,633
808,MY31220,California,F,College,899704,54230,112,0,Personal Auto,Two-Door Car,537
809,AA71604,California,F,Bachelor,793690,39295,193,0,Personal Auto,Four-Door Car,404
